validScientificName,kingdom,phylum,order,family.ORIG,genus.ORIG,species,taxonRank.ORIG,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,datasetKey,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Hepatica nobilis Schreb.,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Hepatica,Hepatica nobilis,SPECIES,NE,10.42111,63.445032,8,2023,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Hepatica nobilis Schreb.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,8,8,1,wfo-0000719933,urn:lsid:ipni.org:names:711404-1,973039,Hepatica nobilis,species,wfo-4000017505,Schreb.,Ranunculaceae,"","",,Hepatica,"",nobilis,"",species,Valid,Spic. Fl. Lips. : 39 (1771),Accepted,"",wfo-0000535345,,"Source in seed data: cmp Update namepublishedIn from Spic. Fl. Lips. 39 1771  to Spic. Fl. Lips. : 39 (1771), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-28458",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:711404-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2845808,"",FALSE,"","",""
Hepatica nobilis Schreb.,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Hepatica,Hepatica nobilis,SPECIES,NE,10.42111,63.445032,8,2023,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Hepatica nobilis Schreb.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,8,8,2,wfo-0001129286,urn:lsid:ipni.org:names:30369029-2,27100409,Hepatica nobilis,species,wfo-4000017505,Mill.,Ranunculaceae,"","",,Hepatica,"",nobilis,"",species,Valid,"Gard. Dict., ed. 8. Hepatica no. 1 [textus s.n.]. 1768 [16 Apr 1768]",Accepted,"","",,"Source in seed data: tro Updated namePublishedIn from Gard. Dict. (ed. 8) no. 1 1768  to Gard. Dict., ed. 8. Hepatica no. 1 [textus s.n.]. 1768 [16 Apr 1768] , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could b",http://www.theplantlist.org/tpl1.1/record/tro-27100409,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-27100409,"",FALSE,"","",""
Plantago lanceolata L.,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Plantago,Plantago lanceolata,SPECIES,NE,10.422108,63.445358,3,2021,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Plantago lanceolata L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,9,1,wfo-0000486603,urn:lsid:ipni.org:names:321285-2,703857,Plantago lanceolata,species,wfo-4000030044,L.,Plantaginaceae,"","",,Plantago,"",lanceolata,"",species,Valid,Sp. Pl. : 113 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 113 1753  to Sp. Pl. : 113 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2569834 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2569834,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2569834,"",FALSE,"","",""
Galium verum L.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Galium,Galium verum,SPECIES,NE,10.421208,63.445242,5,2023,8a863029-f435-446a-821e-275f4f641165,Galium verum L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,10,1,wfo-0000970601,urn:lsid:ipni.org:names:77168479-1,87902,Galium verum  subsp. verum,subspecies,wfo-0000970562,"",Rubiaceae,"","",,Galium,"",verum,verum,subspecies,Valid,Unknown,Accepted,"","",,"Source in seed data: wcs Updated taxonomicStatus from Synonym to Accepted, information provided by Alan E. on email Jun. 03 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-87902 >The Plant List v.1.1.</a> Origina",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168479-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-87902,"",TRUE,Synonym,wfo-0000970564,Galium verum f. album
Galium verum L.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Galium,Galium verum,SPECIES,NE,10.421208,63.445242,5,2023,8a863029-f435-446a-821e-275f4f641165,Galium verum L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,10,2,wfo-0000970562,urn:lsid:ipni.org:names:750829-1,87863,Galium verum,species,wfo-4000015241,L.,Rubiaceae,"","",,Galium,"",verum,"",species,Valid,Sp. Pl. : 107 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 107 1753  to Sp. Pl. : 107 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-87863 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/kew-87863,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-87863,"",TRUE,Synonym,wfo-0001132343,Galium verum f. verum
Lotus corniculatus L.,Plantae,Tracheophyta,Fabales,Fabaceae,Lotus,Lotus corniculatus,SPECIES,NE,10.420942,63.445461,100,2023,b124e1e0-4755-430f-9eab-894f25a9b59c,Lotus corniculatus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,11,1,wfo-0000212180,urn:lsid:ipni.org:names:30179739-2,7260,Lotus corniculatus,species,wfo-4000022302,L.,Fabaceae,"","",,Lotus,"",corniculatus,"",species,Valid,Sp. Pl.: 775 (1753),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Sp. Pl. : 775 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-7260 >The Plant List v.1.1.</a> Or",https://www.legumedata.org/taxonomy/taxon/345329,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-7260,"",FALSE,"","",""
Petrosedum rupestre,Plantae,Tracheophyta,Saxifragales,Crassulaceae,Petrosedum,Petrosedum rupestre,SPECIES,NE,10.422622,63.444774,10,2023,b124e1e0-4755-430f-9eab-894f25a9b59c,Petrosedum rupestre (L.) P.V.Heath,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,12,1,wfo-0000396537,urn:lsid:ipni.org:names:945121-1,549583,Petrosedum rupestre,species,wfo-4000028988,(L.) P.V.Heath,Crassulaceae,"","",,Petrosedum,"",rupestre,"",species,Valid,Sussex Cact. Succ. Soc. Yearb. 1987: 56 (1987),Accepted,"",wfo-0000441437,,"Source in seed data: cmp Update namepublishedIn from Sussex Cactus & Succ. Yearbook, 1987 (ed. P. Heath) 56. 1987  to Sussex Cact. Succ. Soc. Yearb. 1987: 56 (1987), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a ",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:945121-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2411224,"",FALSE,"","",""
Knautia arvensis,Plantae,Tracheophyta,Dipsacales,Caprifoliaceae,Knautia,Knautia arvensis,SPECIES,NE,10.426153,63.444461,5,2020,b124e1e0-4755-430f-9eab-894f25a9b59c,Knautia arvensis (L.) Coult.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,13,1,wfo-0000356720,"",474299,Knautia arvensis,species,wfo-4000020086,(L.) Coult.,Caprifoliaceae,"","",,Knautia,"",arvensis,"",species,Valid,Dipsac. 29.,Accepted,"",wfo-0000500202,,"Source in seed data: cmp Updated taxonomicstatus from Accepted to accepted, acceptedNameId from to null, [references] from http://www.theplantlist.org/tpl1.1/record/kew-2334543,  according to WCVP, information provided by Alan E. on email Dec 02 2020 Mor",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319318-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2334543,"",FALSE,"","",""
Knautia arvensis,Plantae,Tracheophyta,Dipsacales,Caprifoliaceae,Knautia,Knautia arvensis,SPECIES,NE,10.426153,63.444461,5,2020,b124e1e0-4755-430f-9eab-894f25a9b59c,Knautia arvensis (L.) Coult.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,13,2,wfo-0001046398,"",11200104,Knautia arvensis,species,wfo-4000020086,J.M.Coult.,Caprifoliaceae,"","",,Knautia,"",arvensis,"",species,Valid,"",Accepted,"","",,"Source in seed data: tro Updated taxonomicstatus from Accepted to accepted, acceptedNameId from to null, [references] from https://wcvp.science.kew.org/taxon/319318-1,  according to WCVP, information provided by Alan E. on email Dec 02 2020 More details ",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319318-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-11200104,"",FALSE,"","",""
Grimmia pulvinata,Plantae,Bryophyta,Grimmiales,Grimmiaceae,Grimmia,Grimmia pulvinata,SPECIES,NE,10.427276,63.444076,5,2023,b124e1e0-4755-430f-9eab-894f25a9b59c,Grimmia pulvinata (Hedw.) Sm.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,14,1,wfo-0001173777,35147246,35147246,Grimmia pulvinata,species,wfo-4000016235,(Hedw.) Sm.,Grimmiaceae,"","",,Grimmia,"",pulvinata,"",species,Valid,Engl. Bot. 24: 1728 1807,Accepted,"",wfo-0001179050,,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-35147246 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-35147246 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/tro-35147246,The Bryophyte TEN,B,tro-35147246,"",FALSE,"","",""
