validScientificName,kingdom,phylum,order,family.ORIG,genus.ORIG,species,taxonRank.ORIG,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,datasetKey,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Poa compressa L.,Plantae,Tracheophyta,Poales,Poaceae,Poa,Poa compressa,SPECIES,NE,10.4234,63.4449,7,2008,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Poa compressa L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,102,1,wfo-0001396015,urn:lsid:ipni.org:names:204175-2,204175-2,Poa compressa var. laxa,variety,"",Scribn.,Poaceae,"","",,Poa,"",compressa,laxa,variety,"","Grasses Tennessee pt. 2, 106. 1904",Unchecked,"","",,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","",The Poaceae TEN,A,"","",FALSE,"","",""
Dactylis glomerata L.,Plantae,Tracheophyta,Poales,Poaceae,Dactylis,Dactylis glomerata,SPECIES,NE,10.422649,63.44469,5,2020,b124e1e0-4755-430f-9eab-894f25a9b59c,Dactylis glomerata L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,103,1,wfo-0000861498,urn:lsid:ipni.org:names:397309-1,406640,Dactylis glomerata,species,wfo-4000010628,L.,Poaceae,"","",,Dactylis,"",glomerata,"",species,Valid,Sp. Pl. : 71 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 71 1753  to Sp. Pl. : 71 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-406640 >The Plant Lis",http://www.theplantlist.org/tpl1.1/record/kew-406640,The Poaceae TEN,A,kew-406640,"",FALSE,"","",""
Carex flacca Schreb.,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex flacca,SPECIES,NE,10.4216,63.4453,7,2008,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Carex flacca Schreb.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,8,104,1,wfo-0000346645,urn:lsid:ipni.org:names:299756-1,226565,Carex flacca,species,wfo-4000006709,Schreb.,Cyperaceae,"","",,Carex,"",flacca,"",species,Valid,"Spic. Fl. Lips. , App.: 178 (1771)",Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Spic. Fl. Lips. appendix [178]. 1771 [9 Jul-25 Oct 1771]  to Spic. Fl. Lips. , App.: 178 (1771), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.",http://www.theplantlist.org/tpl1.1/record/kew-226565,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-226565,"",FALSE,"","",""
Linum catharticum L.,Plantae,Tracheophyta,Malpighiales,Linaceae,Linum,Linum catharticum,SPECIES,NE,10.421715,63.445212,10,2020,b124e1e0-4755-430f-9eab-894f25a9b59c,Linum catharticum L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,3,105,1,wfo-0000363831,urn:lsid:ipni.org:names:544405-1,488053,Linum catharticum,species,wfo-4000021903,L.,Linaceae,"","",,Linum,"",catharticum,"",species,Valid,Sp. Pl. : 281 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 281 1753  to Sp. Pl. : 281 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2348507 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2348507,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2348507,"",FALSE,"","",""
Vaccinium vitis-idaea L.,Plantae,Tracheophyta,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-idaea,SPECIES,LC,10.421859,63.445236,23,2021,b124e1e0-4755-430f-9eab-894f25a9b59c,Vaccinium vitis-idaea L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,106,1,wfo-0000421966,urn:lsid:ipni.org:names:293975-2,594807,Vaccinium vitis-idaea,species,wfo-4000039926,L.,Ericaceae,Vaccinioideae,"",,Vaccinium,"",vitis-idaea,"",species,Valid,Sp. Pl. : 351 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 351 1753  to Sp. Pl. : 351 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2457314 >The Plant ",https://padme.rbge.org.uk/wfo/wfo-0000421966,The Ericaceae Taxonomic Expert Network,A,kew-2457314,"",FALSE,"","",""
Succisa pratensis Moench,Plantae,Tracheophyta,Dipsacales,Caprifoliaceae,Succisa,Succisa pratensis,SPECIES,NE,10.421715,63.445212,10,2020,b124e1e0-4755-430f-9eab-894f25a9b59c,Succisa pratensis Moench,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,107,1,wfo-0000500443,urn:lsid:ipni.org:names:320331-1,727217,Succisa pratensis,species,wfo-4000037044,Moench,Caprifoliaceae,"","",,Succisa,"",pratensis,"",species,Valid,Methodus : 489 (1794),Accepted,"",wfo-0000500635,,"Source in seed data: cmp Update namepublishedIn from Methodus (Moench) 489. 1794 [4 May 1794]  to Methodus : 489 (1794), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor",http://www.theplantlist.org/tpl1.1/record/kew-2593868,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2593868,"",FALSE,"","",""
Convolvulus arvensis L.,Plantae,Tracheophyta,Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis,SPECIES,NE,10.424949,63.444353,10,2007,b124e1e0-4755-430f-9eab-894f25a9b59c,Convolvulus arvensis L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,108,1,wfo-0001296633,urn:lsid:ipni.org:names:265849-1,8500005,Convolvulus arvensis,species,wfo-4000009203,L.,Convolvulaceae,"","",,Convolvulus,"",arvensis,"",species,Valid,Sp. Pl. : 153 (1753),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 1: 153 1753  to Sp. Pl. : 153 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-8500005 >The Pla",http://www.theplantlist.org/tpl1.1/record/tro-8500005,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-8500005,"",FALSE,"","",""
Vicia sepium L.,Plantae,Tracheophyta,Fabales,Fabaceae,Vicia,Vicia sepium,SPECIES,LC,10.42185,63.445276,25,2012,b124e1e0-4755-430f-9eab-894f25a9b59c,Vicia sepium L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,8,109,1,wfo-0000212792,urn:lsid:ipni.org:names:525130-1,7863,Vicia sepium,species,wfo-4000040234,L.,Fabaceae,"","",,Vicia,"",sepium,"",species,Valid,Sp. Pl.: 737 (1753),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Sp. Pl. : 737 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-7863 >The Plant List v.1.1.</a> Or",https://www.legumedata.org/taxonomy/taxon/451888,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-7863,"",TRUE,Synonym,wfo-0001449778,Vicia sepium var. alba
Vicia sepium L.,Plantae,Tracheophyta,Fabales,Fabaceae,Vicia,Vicia sepium,SPECIES,LC,10.42185,63.445276,25,2012,b124e1e0-4755-430f-9eab-894f25a9b59c,Vicia sepium L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,8,109,2,wfo-0000212792,urn:lsid:ipni.org:names:525130-1,7863,Vicia sepium,species,wfo-4000040234,L.,Fabaceae,"","",,Vicia,"",sepium,"",species,Valid,Sp. Pl.: 737 (1753),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Sp. Pl. : 737 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-7863 >The Plant List v.1.1.</a> Or",https://www.legumedata.org/taxonomy/taxon/451888,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-7863,"",TRUE,Synonym,wfo-0001449784,Vicia sepium var. nana
Rubus idaeus L.,Plantae,Tracheophyta,Rosales,Rosaceae,Rubus,Rubus idaeus,SPECIES,NE,10.421859,63.445236,23,2021,b124e1e0-4755-430f-9eab-894f25a9b59c,Rubus idaeus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,110,1,wfo-0000991430,urn:lsid:ipni.org:names:294083-2,20167,Rubus idaeus  f. succineus,form,wfo-0001000827,Rehder,Rosaceae,"","",,Rubus,"",idaeus,succineus,form,Valid,J. Arnold Arbor. 23: 377 (1942),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from ; 1942 377 1942  to J. Arnold Arbor. 23: 377 (1942), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-20167 >Th",http://www.theplantlist.org/tpl1.1/record/rjp-20167,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-20167,"",TRUE,Synonym,wfo-0000988414,Rubus idaeus f. albus
Rubus idaeus L.,Plantae,Tracheophyta,Rosales,Rosaceae,Rubus,Rubus idaeus,SPECIES,NE,10.421859,63.445236,23,2021,b124e1e0-4755-430f-9eab-894f25a9b59c,Rubus idaeus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,110,2,wfo-0001325293,urn:lsid:ipni.org:names:294086-2,294086-2,Rubus idaeus f. warei,form,"",W.Deane & Fernald,Rosaceae,"","",,Rubus,"",idaeus,warei,form,"",Rhodora 22: 112. 1920,Unchecked,"","",,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",FALSE,"","",""
Crataegus sanguinea Pall.,Plantae,Tracheophyta,Rosales,Rosaceae,Crataegus,Crataegus sanguinea,SPECIES,NE,10.4236,63.445,7,2008,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Crataegus sanguinea Pall.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,111,1,wfo-0001016151,urn:lsid:ipni.org:names:723228-1,6765,Crataegus dahurica,species,wfo-4000009592,Koehne ex C.K.Schneid.,Rosaceae,"","",,Crataegus,"",dahurica,"",species,Valid,Ill. Handb. Laubholzk. [C.K.Schneider] 1: 773 (1906).,Accepted,"","",,"Source in seed data: rjp Updated namePublishedIn from Illustriertes Handbuch der Laubholzkunde ; 1904 773, f.437n-o,438a-c,g-i 1906  to Ill. Handb. Laubholzk. [C.K.Schneider] 1: 773 (1906). , according to IPNI. Information provided by Alan E. on email Ju",http://www.theplantlist.org/tpl1.1/record/rjp-6765,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-6765,"",TRUE,Synonym,wfo-0001016509,Crataegus sanguinea var. glabra
Crataegus sanguinea Pall.,Plantae,Tracheophyta,Rosales,Rosaceae,Crataegus,Crataegus sanguinea,SPECIES,NE,10.4236,63.445,7,2008,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Crataegus sanguinea Pall.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,111,2,wfo-0001016148,urn:lsid:ipni.org:names:723770-1,6762,Crataegus maximowiczii,species,wfo-4000009592,C.K.Schneid.,Rosaceae,"","",,Crataegus,"",maximowiczii,"",species,Valid,Ill. Handb. Laubholzk. 1: 771 (1906),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Ill. Handb. Laubholzk. i. 771 (1906).  to Ill. Handb. Laubholzk. 1: 771 (1906), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/",http://www.theplantlist.org/tpl1.1/record/rjp-6762,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-6762,"",TRUE,Synonym,wfo-0001017281,Crataegus sanguinea var. villosa
Prunus padus L.,Plantae,Tracheophyta,Rosales,Rosaceae,Prunus,Prunus padus,SPECIES,LC,10.42202,63.445503,6,2021,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Prunus padus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,112,1,wfo-0001326256,urn:lsid:ipni.org:names:889870-1,889870-1,Prunus padus f. glauca,form,"",(Nakai) Kitag.,Rosaceae,"","",,Prunus,"",padus,glauca,form,"",Neolin. Fl. Manshur. 378. 1979,Unchecked,"","",,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",FALSE,"","",""
Alchemilla monticola Opiz,Plantae,Tracheophyta,Rosales,Rosaceae,Alchemilla,Alchemilla monticola,SPECIES,NE,10.426153,63.444461,5,2020,b124e1e0-4755-430f-9eab-894f25a9b59c,Alchemilla monticola Opiz,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,113,1,wfo-0001015000,urn:lsid:ipni.org:names:20011043-1,617,Alchemilla monticola,species,wfo-4000001119,Opiz,Rosaceae,"","",,Alchemilla,"",monticola,"",species,Valid,Oekon.-Techn. Fl. Böhm. 2(1): 13 (1838),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Oekonomisch-technische Flora B”hmens ; 1836 13 1838  to Oekon.-Techn. Fl. Böhm. 2(1): 13 (1838), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://w",http://www.theplantlist.org/tpl1.1/record/rjp-617,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-617,"",FALSE,"","",""
Aquilegia vulgaris L.,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Aquilegia,Aquilegia vulgaris,SPECIES,NE,10.422721,63.444674,5,2022,b124e1e0-4755-430f-9eab-894f25a9b59c,Aquilegia vulgaris L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,114,1,wfo-0000541607,urn:lsid:ipni.org:names:306409-2,777117,Aquilegia vulgaris,species,wfo-4000002807,L.,Ranunculaceae,"","",,Aquilegia,"",vulgaris,"",species,Valid,Sp. Pl. : 533 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 533 1753  to Sp. Pl. : 533 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2645045 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2645045,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2645045,"",FALSE,"","",""
Populus tremula L.,Plantae,Tracheophyta,Malpighiales,Salicaceae,Populus,Populus tremula,SPECIES,LC,10.421303,63.445625,,2020,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Populus tremula L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,115,1,wfo-0001326297,urn:lsid:ipni.org:names:890978-1,890978-1,Populus tremula f. rthensis,form,"",T.Bunusevac & S.Jovanovic,Salicaceae,"","",,Populus,"",tremula,rthensis,form,"","Bull. Acad. Serbe Sci. Arts, Sci. Math. Nat. 51(13): 65, without type. 1973",Unchecked,"","",,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",FALSE,"","",""
Descurainia sophia,Plantae,Tracheophyta,Brassicales,Brassicaceae,Descurainia,Descurainia sophia,SPECIES,NE,10.4235,63.4454,1414,1923,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Descurainia sophia (L.) Webb ex Prantl,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,116,1,wfo-0000641996,urn:lsid:ipni.org:names:282077-1,891459,Descurainia sophia,species,wfo-4000011184,(L.) Webb ex Prantl,Brassicaceae,"","",,Descurainia,"",sophia,"",species,Valid,Nat. Pflanzenfam. [Engler & Prantl] iii. 2. 192. 1891 [Mar 1891],Accepted,"",wfo-0000431922,,"Source in seed data: cmp Updated namepublishedIn from Nat. Pflanzenfam. 3(2): 192 1892  to Nat. Pflanzenfam. [Engler & Prantl] iii. 2. 192. 1891 [Mar 1891] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=htt",http://www.theplantlist.org/tpl1.1/record/kew-2761851,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2761851,"",FALSE,"","",""
Erysimum virgatum Roth,Plantae,Tracheophyta,Brassicales,Brassicaceae,Erysimum,Erysimum virgatum,SPECIES,NE,10.42185,63.445276,25,2012,b124e1e0-4755-430f-9eab-894f25a9b59c,Erysimum virgatum Roth,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,117,1,wfo-0000679302,urn:lsid:ipni.org:names:284256-1,928366,Erysimum virgatum,species,wfo-4000013961,Roth,Brassicaceae,"","",,Erysimum,"",virgatum,"",species,Valid,Catal. Bot. 1: 75 (1797),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Catal. Bot. fasc. i. 75. 1797 [Jan-Feb 1797]  to Catal. Bot. 1: 75 (1797), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.",http://www.theplantlist.org/tpl1.1/record/kew-2800561,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2800561,"",FALSE,"","",""
Arabidopsis thaliana,Plantae,Tracheophyta,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,SPECIES,NE,10.421859,63.445236,23,2021,b124e1e0-4755-430f-9eab-894f25a9b59c,Arabidopsis thaliana (L.) Heynh.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,118,1,wfo-0000541830,urn:lsid:ipni.org:names:277970-1,777331,Arabidopsis thaliana,species,wfo-4000002812,(L.) Heynh.,Brassicaceae,"","",,Arabidopsis,"",thaliana,"",species,Valid,Fl. Sachsen : 538 (1842),Accepted,"",wfo-0000542939,,"Source in seed data: cmp Update namepublishedIn from Fl. Sachsen 538 1842  to Fl. Sachsen : 538 (1842), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2645262 >Th",http://www.theplantlist.org/tpl1.1/record/kew-2645262,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2645262,"",FALSE,"","",""
Sagina nodosa,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,Sagina nodosa,SPECIES,NE,10.42185,63.445276,25,2012,b124e1e0-4755-430f-9eab-894f25a9b59c,Sagina nodosa (L.) Fenzl,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,119,1,wfo-0000438470,"",622033,Sagina nodosa,species,wfo-4000033779,(L.) Fenzl,Caryophyllaceae,"","",,Sagina,"",nodosa,"",species,Valid,Vers. Darstell. Alsin. 18 1833,Accepted,"",wfo-0000440047,,Source in seed data: cmp More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2485255 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2485255 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/kew-2485255,The Caryophyllales Taxonomic Expert Network,A,kew-2485255,"",FALSE,"","",""
Sagina nodosa,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,Sagina nodosa,SPECIES,NE,10.42185,63.445276,25,2012,b124e1e0-4755-430f-9eab-894f25a9b59c,Sagina nodosa (L.) Fenzl,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,119,2,wfo-0000438470,"",622033,Sagina nodosa,species,wfo-4000033779,(L.) Fenzl,Caryophyllaceae,"","",,Sagina,"",nodosa,"",species,Valid,Vers. Darstell. Alsin. 18 1833,Accepted,"",wfo-0000440047,,Source in seed data: cmp More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2485255 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2485255 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/kew-2485255,The Caryophyllales Taxonomic Expert Network,A,kew-2485255,"",TRUE,Synonym,wfo-0001245021,Sagina nodosa
Cerastium biebersteinii DC.,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium biebersteinii,SPECIES,NE,10.425623,63.445658,5,2020,b124e1e0-4755-430f-9eab-894f25a9b59c,Cerastium biebersteinii DC.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,21,120,1,wfo-0000595279,urn:lsid:ipni.org:names:152101-1,840663,Cerastium biebersteinii,species,wfo-4000007327,DC.,Caryophyllaceae,"","",,Cerastium,"",biebersteinii,"",species,Valid,Mém. Soc. Phys. Genève 1: 436 (1823),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Mém. Soc. Phys. Genève 1: 436 1823  to Mém. Soc. Phys. Genève 1: 436 (1823), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org",http://www.theplantlist.org/tpl1.1/record/kew-2710069,The Caryophyllales Taxonomic Expert Network,A,kew-2710069,"",TRUE,Synonym,wfo-0001291971,Cerastium biebersteinii subsp. transcaucasicum
Senecio vulgaris L.,Plantae,Tracheophyta,Asterales,Asteraceae,Senecio,Senecio vulgaris,SPECIES,NE,10.423522,63.445355,1000,1990,f06ed729-104f-4e51-9db3-dfd9b228a1be,Senecio vulgaris L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,121,1,wfo-0000137259,urn:lsid:ipni.org:names:907702-1,GCC-2D1DA8BB-441E-4C95-8617-95092C095457,Senecio dubitabilis,species,wfo-4000035060,C.Jeffrey & Y.L.Chen,Asteraceae,"","",,Senecio,"",dubitabilis,"",species,Valid,Kew Bull. 39(2): 427 (1984),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Kew Bull. 39(2): 427. 1984 [13 Jul 1984]  to Kew Bull. 39(2): 427 (1984), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1",http://www.theplantlist.org/tpl1.1/record/gcc-97947,The Asteraceaae TEN,A,gcc-97947,"",TRUE,Synonym,wfo-0000100609,Senecio vulgaris var. dubius
Hieracium umbellatum L.,Plantae,Tracheophyta,Asterales,Asteraceae,Hieracium,Hieracium umbellatum,SPECIES,NE,10.4236,63.445,7,2008,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Hieracium umbellatum L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,122,1,wfo-0000080102,urn:lsid:ipni.org:names:224435-1,GCC-B3658C3A-D305-4077-A616-43FC12E6F066,Hieracium umbellatum,species,wfo-4000017887,L.,Asteraceae,"","",,Hieracium,"",umbellatum,"",species,Valid,Sp. Pl. : 804 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2: 804. 1753 [1 May 1753]  to Sp. Pl. : 804 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-36",http://www.theplantlist.org/tpl1.1/record/gcc-36668,The Asteraceaae TEN,A,gcc-36668,"",FALSE,"","",""
Hieracium umbellatum L.,Plantae,Tracheophyta,Asterales,Asteraceae,Hieracium,Hieracium umbellatum,SPECIES,NE,10.4236,63.445,7,2008,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Hieracium umbellatum L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,122,2,wfo-0000105668,urn:lsid:ipni.org:names:922240-1,GCC-17FDAA5E-CAAE-4624-911C-0BD831616413,Hieracium umbellatum  subsp. filifolium,subspecies,wfo-0000080102,(Üksip) Tzvelev,Asteraceae,"","",,Hieracium,"",umbellatum,filifolium,subspecies,Valid,Novosti Sist. Vyssh. Rast. 20: 237 (1983),Accepted,"",wfo-0000099417,,"Source in seed data: gcc Update namepublishedIn from Novosti Sist. Vyssh. Rast. 20: 237 (1983):.  to Novosti Sist. Vyssh. Rast. 20: 237 (1983), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla",http://www.theplantlist.org/tpl1.1/record/gcc-6367,The Asteraceaae TEN,A,gcc-6367,"",TRUE,Synonym,wfo-0000084046,Hieracium umbellatum
Malva moschata L.,Plantae,Tracheophyta,Malvales,Malvaceae,Malva,Malva moschata,SPECIES,NE,10.425623,63.445658,5,2020,b124e1e0-4755-430f-9eab-894f25a9b59c,Malva moschata L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,6,123,1,wfo-0000449199,urn:lsid:ipni.org:names:561790-1,639959,Malva moschata,species,wfo-4000022983,L.,Malvaceae,"","",,Malva,"",moschata,"",species,Valid,Sp. Pl. : 690 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 690 1753  to Sp. Pl. : 690 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2503483 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2503483,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2503483,"",TRUE,Synonym,wfo-0001320502,Malva moschata f. alba
Scapania calcicola,Plantae,Marchantiophyta,Jungermanniales,Scapaniaceae,Scapania,Scapania calcicola,SPECIES,NE,10.4235,63.4454,1414,1895,6728c42d-c4b6-4fda-a211-5ad1bb59cda4,Scapania calcicola (Arnell & J.Perss.) Ingham,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,124,1,wfo-0001196764,35185973,35185973,Scapania calcicola,species,wfo-4000034240,(Arnell & J.Perss.) W.Ingham,Scapaniaceae,"","",,Scapania,"",calcicola,"",species,Valid,Naturalist (Hull) 1904: 11 1904,Accepted,"",wfo-0001199569,,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-35185973 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-35185973 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/tro-35185973,The Bryophyte TEN,B,tro-35185973,"",FALSE,"","",""
