validScientificName,family.ORIG,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Aster bellidiastrum,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,42.23,0,57.77,CR,1,Aster bellidiastrum (L.) Scop.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,300,3,wfo-0000135608,urn:lsid:ipni.org:names:180754-1,GCC-83AD34AE-E350-4AC9-9C5D-9158C9AFC206,Aster bellidiastrum,species,wfo-4000003381,Scop.,Asteraceae,"","",,Aster,"",bellidiastrum,"",species,Valid,Fl. Carniol. 2: 168 (1772),Accepted,"",wfo-0000031144,,"Source in seed data: gcc Update namepublishedIn from Fl. Carniol., ed. 2. 2: 168. 1772  to Fl. Carniol. 2: 168 (1772), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:180754-1,The Asteraceaae TEN,A,gcc-96350,"",FALSE,"","",""
Aster dumosus L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,6.16,90.94,2.91,S,4,Aster dumosus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,301,1,wfo-0000032724,urn:lsid:ipni.org:names:181109-1,GCC-F988F827-F75F-45A1-BFA7-E15EDAF40FFD,Aster dumosus,species,wfo-4000003381,Hoffm.,Asteraceae,"","",,Aster,"",dumosus,"",species,Valid,Phytog. Blaetter 1: 68. 1803,Accepted,"","",,"Source in seed data: gcc Updated namePublishedIn from Phytog. Blaetter i. (1803) 68  to Phytog. Blaetter 1: 68. 1803 , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlis",http://www.theplantlist.org/tpl1.1/record/gcc-131644,The Asteraceaae TEN,A,gcc-131644,"",TRUE,Synonym,wfo-0000055418,Aster dumosus f. dumosus
Aster dumosus L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,6.16,90.94,2.91,S,4,Aster dumosus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,301,2,wfo-0000104742,urn:lsid:ipni.org:names:23340-2,GCC-F0B9C96B-B3AB-4E6F-B96B-AFD01D2A7903,Aster dumosus var. albus,variety,"",Pursh,Asteraceae,"","",,Aster,"",dumosus,albus,variety,"",Fl. Amer. Sept. 2: 546 (1813),Unchecked,"","",,"Source in seed data: gcc Update namepublishedIn from Fl. Amer. Sept. (Pursh) 2: 546. 1813 [Dec 1813]  to Fl. Amer. Sept. 2: 546 (1813), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.o",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23340-2,The Asteraceaae TEN,A,gcc-62559,"",FALSE,"","",""
Aster dumosus L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,6.16,90.94,2.91,S,4,Aster dumosus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,301,3,wfo-0000136231,urn:lsid:ipni.org:names:23351-2,GCC-0CFAA6A0-7FFE-49EF-AF4D-121D31C8C501,Aster dumosus var. verus,variety,"",Torr. & A.Gray,Asteraceae,"","",,Aster,"",dumosus,verus,variety,"",Fl. N. Amer. 2(1): 128 (1841),Unchecked,"","",,"Source in seed data: gcc Update namepublishedIn from Fl. N. Amer. (Torr. & A. Gray) 2(1): 128. 1841 [May 1841]  to Fl. N. Amer. 2(1): 128 (1841), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thep",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23351-2,The Asteraceaae TEN,A,gcc-9695,"",FALSE,"","",""
Aster ericoides L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,8.85,56.67,34.48,SR,2,Aster ericoides L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,302,1,wfo-0000065053,urn:lsid:ipni.org:names:981811-1,GCC-DC9D8E69-A41F-4858-B499-28A90966345E,Symphyotrichum ericoides,species,wfo-4000037221,(L.) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",ericoides,"",species,Valid,Phytologia 77(3): 280 (1995),Accepted,"",wfo-0000031058,,"Source in seed data: gcc Update namepublishedIn from Phytologia 77 280  to Phytologia 77(3): 280 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-21986 >The",http://www.theplantlist.org/tpl1.1/record/gcc-21986,The Asteraceaae TEN,A,gcc-21986,"",TRUE,Synonym,wfo-0000113139,Aster ericoides f. exiguus
Aster ericoides L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,8.85,56.67,34.48,SR,2,Aster ericoides L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,302,2,wfo-0000113441,urn:lsid:ipni.org:names:23387-2,GCC-DE40794F-CC58-4192-BD09-2F9C3742859C,Aster ericoides f. gramsii,form,"",Benke,Asteraceae,"","",,Aster,"",ericoides,gramsii,form,"",Amer. Midl. Naturalist 13: 328 (1932),Unchecked,"","",,"Source in seed data: gcc Update namepublishedIn from Amer. Midl. Naturalist 13: 328. 1932  to Amer. Midl. Naturalist 13: 328 (1932), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23387-2,The Asteraceaae TEN,A,gcc-74020,"",FALSE,"","",""
Aster hemisphericus Alexander,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,8.84,83.43,7.73,S,4,Aster hemisphericus Alexander,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,10,303,1,wfo-0000045299,urn:lsid:ipni.org:names:1170535-2,GCC-40DD4CD8-7E00-413B-BFE8-1AB1DCF55E66,Eurybia hemispherica,species,wfo-4000014279,(Alexander) G.L.Nesom,Asteraceae,"","",,Eurybia,"",hemispherica,"",species,Valid,Phytologia 77: 260 (1995),Accepted,"",wfo-0000124494,,"Source in seed data: gcc Update namepublishedIn from Phytologia 77: 260. 1995 [dt. Sep 1994; publ. on 31 Jan 1995]  to Phytologia 77: 260 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thep",http://www.theplantlist.org/tpl1.1/record/gcc-14381,The Asteraceaae TEN,A,gcc-14381,"",TRUE,Synonym,wfo-0000124494,Aster hemisphericus
Aster laevis L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,39.07,33.85,27.09,CSR,2,Aster laevis L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,304,1,wfo-0000129622,urn:lsid:ipni.org:names:911502-1,GCC-D112BFF7-727F-46EA-8CBE-844E473FA5D1,Symphyotrichum laeve,species,wfo-4000037221,(L.) Á.Löve & D.Löve,Asteraceae,"","",,Symphyotrichum,"",laeve,"",species,Valid,Taxon 31(2): 359 (1982):.,Accepted,"",wfo-0000131623,,"Source in seed data: gcc Updated namepublishedIn from 359 1982  to Taxon 31(2): 359 (1982):. , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-90549 >The Plant Lis",http://www.theplantlist.org/tpl1.1/record/gcc-90549,The Asteraceaae TEN,A,gcc-90549,"",TRUE,Synonym,wfo-0000113741,Aster laevis f. laevis
Aster lanceolatus Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,10.93,64.49,24.58,S/SR,2,Aster lanceolatus Willd.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,305,1,wfo-0000064581,urn:lsid:ipni.org:names:181558-1,GCC-18A30896-AA39-4089-A1B4-27CF68829D0C,Aster lanceolatus,species,"",Kuntze,Asteraceae,"","",,Aster,"",lanceolatus,"",species,"",Revis. Gen. Pl. 1: 313. 1891 [5 Nov 1891],Unchecked,"","",,"Source in seed data: gcc Updated scientificnameAuthorship from (Hook.) Kuntze to Kuntze, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-21533 >The Plant List v.1.",http://www.theplantlist.org/tpl1.1/record/gcc-21533,The Asteraceaae TEN,A,gcc-21533,"",FALSE,"","",""
Aster lanceolatus Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,10.93,64.49,24.58,S/SR,2,Aster lanceolatus Willd.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,305,2,wfo-0000135432,urn:lsid:ipni.org:names:30439161-2,GCC-05A25169-52F6-43B9-99EF-90F22D2B106E,Symphyotrichum praealtum,species,wfo-4000037221,(Poir.) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",praealtum,"",species,Valid,Phytologia 77(3): 289. 1995 [Sep 1994 publ. 31 Jan 1995],Accepted,"",wfo-0000113889,,"Source in seed data: gcc Updated namepublishedIn from 289 1995  to Phytologia 77(3): 289. 1995 [Sep 1994 publ. 31 Jan 1995] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/",http://www.theplantlist.org/tpl1.1/record/gcc-96172,The Asteraceaae TEN,A,gcc-96172,"",TRUE,Synonym,wfo-0000083375,Aster lanceolatus
Aster lanceolatus Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,10.93,64.49,24.58,S/SR,2,Aster lanceolatus Willd.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,305,3,wfo-0000012570,urn:lsid:ipni.org:names:981841-1,GCC-F3743A58-9A8C-4827-A19E-B4CB2CAAF3B1,Symphyotrichum lanceolatum,species,wfo-4000037221,(Willd.) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",lanceolatum,"",species,Valid,Phytologia 77(3): 284 (1995),Accepted,"",wfo-0000122475,,"Source in seed data: gcc Update namepublishedIn from 284  to Phytologia 77(3): 284 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-112167 >The Plant List v",http://www.theplantlist.org/tpl1.1/record/gcc-112167,The Asteraceaae TEN,A,gcc-112167,"",TRUE,Synonym,wfo-0000122475,Aster lanceolatus
Aster linosyris Benth.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,6.51,79.23,14.26,S/SR,1,Aster linosyris Benth.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,306,1,wfo-0000047608,urn:lsid:ipni.org:names:77179910-1,GCC-095BFB4A-2308-4AAC-97FB-10FD51655A27,Galatella linosyris  subsp. linosyris,subspecies,wfo-0000039809,"",Asteraceae,"","",,Galatella,"",linosyris,linosyris,subspecies,Valid,"",Accepted,"","",,Source in seed data: gcc More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-146082 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-146082 >The Plant List v.1.0</a>,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77179910-1,The Asteraceaae TEN,A,gcc-146082,"",TRUE,Synonym,wfo-0000032987,Aster linosyris
Aster linosyris Benth.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,6.51,79.23,14.26,S/SR,1,Aster linosyris Benth.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,306,2,wfo-0000047608,urn:lsid:ipni.org:names:77179910-1,GCC-095BFB4A-2308-4AAC-97FB-10FD51655A27,Galatella linosyris  subsp. linosyris,subspecies,wfo-0000039809,"",Asteraceae,"","",,Galatella,"",linosyris,linosyris,subspecies,Valid,"",Accepted,"","",,Source in seed data: gcc More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-146082 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-146082 >The Plant List v.1.0</a>,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77179910-1,The Asteraceaae TEN,A,gcc-146082,"",TRUE,Synonym,wfo-0000037580,Aster linosyris
Aster novae-angliae L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,18.02,46.54,35.44,SR/CSR,4,Aster novae-angliae L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,307,1,wfo-0000115996,urn:lsid:ipni.org:names:981863-1,GCC-BFC967B5-5C07-4F49-A561-66D9BF32C1EB,Symphyotrichum novae-angliae,species,wfo-4000037221,(L.) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",novae-angliae,"",species,Valid,Phytologia 77(3): 287 (1995),Accepted,"",wfo-0000047975,,"Source in seed data: gcc Update namepublishedIn from Phytologia 77 287  to Phytologia 77(3): 287 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-77418 >The",http://www.theplantlist.org/tpl1.1/record/gcc-77418,The Asteraceaae TEN,A,gcc-77418,"",TRUE,Synonym,wfo-0000047975,Aster novae-angliae
Aster patens Aiton,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,8,83.93,8.07,S,4,Aster patens Aiton,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,308,1,wfo-0000032084,urn:lsid:ipni.org:names:181952-1,GCC-E88B5F88-6FC7-44A7-962F-DFE93EFC254A,Aster patens,species,"",[Dryand.],Asteraceae,"","",,Aster,"",patens,"",species,"",Hort. Kew. [W. Aiton] 3: 201. 1789,Unchecked,"","",,"Source in seed data: gcc Updated scientificnameAuthorship from Dryand. to [Dryand.], information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-131026 >The Plant List v.1.1.<",http://www.theplantlist.org/tpl1.1/record/gcc-131026,The Asteraceaae TEN,A,gcc-131026,"",FALSE,"","",""
Aster patens Aiton,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,8,83.93,8.07,S,4,Aster patens Aiton,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,308,2,wfo-0000084749,urn:lsid:ipni.org:names:981873-1,GCC-796FE771-4773-430A-8DD2-4C516D672CA1,Symphyotrichum patens,species,wfo-4000037221,(Aiton) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",patens,"",species,Valid,Phytologia 77(3): 288 (1995),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Phytologia 77(3): 288. 1995 [Sep 1994 publ. 31 Jan 1995]  to Phytologia 77(3): 288 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla",http://www.theplantlist.org/tpl1.1/record/gcc-41185,The Asteraceaae TEN,A,gcc-41185,"",TRUE,Synonym,wfo-0000138032,Aster patens
Aster pilosus Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,21.76,36.46,41.78,SR/CSR,4,Aster pilosus Willd.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,309,1,wfo-0000065053,urn:lsid:ipni.org:names:981811-1,GCC-DC9D8E69-A41F-4858-B499-28A90966345E,Symphyotrichum ericoides,species,wfo-4000037221,(L.) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",ericoides,"",species,Valid,Phytologia 77(3): 280 (1995),Accepted,"",wfo-0000031058,,"Source in seed data: gcc Update namepublishedIn from Phytologia 77 280  to Phytologia 77(3): 280 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-21986 >The",http://www.theplantlist.org/tpl1.1/record/gcc-21986,The Asteraceaae TEN,A,gcc-21986,"",TRUE,Synonym,wfo-0000063290,Aster pilosus
Aster puniceus L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,shrub,35.43,40.33,24.24,CS/CSR,2,Aster puniceus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,310,1,wfo-0000013677,urn:lsid:ipni.org:names:23991-2,GCC-AC0DFB4A-6EB0-4C5C-BB5D-B728F204884F,Aster puniceus f. colbyi,form,"",(Benke) Shinners,Asteraceae,"","",,Aster,"",puniceus,colbyi,form,"",Amer. Midl. Naturalist 26: 414 (1941),Unchecked,"",wfo-0000107420,,"Source in seed data: gcc Update namepublishedIn from Amer. Midl. Naturalist 26: 414. 1941  to Amer. Midl. Naturalist 26: 414 (1941), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23991-2,The Asteraceaae TEN,A,gcc-113226,"",FALSE,"","",""
Aster sagittifolius Wedem. ex Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,18.87,36.67,44.46,SR/CSR,4,Aster sagittifolius Wedem. ex Willd.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,17,311,1,wfo-0000129024,urn:lsid:ipni.org:names:981790-1,GCC-9BBCB92A-AEB3-49C6-8EE2-82F05D5DF7FF,Symphyotrichum cordifolium,species,wfo-4000037221,(L.) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",cordifolium,"",species,Valid,Phytologia 77(3): 278 (1995),Accepted,"",wfo-0000087496,,"Source in seed data: gcc Update namepublishedIn from Phytologia 77 278 1995  to Phytologia 77(3): 278 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-89973",http://www.theplantlist.org/tpl1.1/record/gcc-89973,The Asteraceaae TEN,A,gcc-89973,"",TRUE,Synonym,wfo-0000124513,Aster sagittifolius
Aster sagittifolius Wedem. ex Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,18.87,36.67,44.46,SR/CSR,4,Aster sagittifolius Wedem. ex Willd.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,17,311,2,wfo-0000120184,urn:lsid:ipni.org:names:981914-1,GCC-7C79C5C4-11F5-4181-B835-6FDCD6F00B62,Symphyotrichum undulatum,species,wfo-4000037221,(L.) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",undulatum,"",species,Valid,Phytologia 77(3): 293 (1995),Accepted,"",wfo-0000131142,,"Source in seed data: gcc Update namepublishedIn from Phytologia 77(3): 293. 1995 [Sep 1994 publ. 31 Jan 1995]  to Phytologia 77(3): 293 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla",http://www.theplantlist.org/tpl1.1/record/gcc-81459,The Asteraceaae TEN,A,gcc-81459,"",TRUE,Synonym,wfo-0000129263,Aster sagittifolius
Aster simplex Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,31.23,42.32,26.45,CSR,2,Aster simplex Willd.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,312,1,wfo-0001332499,urn:lsid:ipni.org:names:77117787-1,77117787-1,Aster pseudosimplex,species,wfo-4000003381,"Brouillet, Semple & Y.L.Chen",Asteraceae,"","",,Aster,"",pseudosimplex,"",species,Valid,Fl. China 20-21: 606 (2011),Accepted,"","",,"Source in seed data: ipni Update namepublishedIn from Fl. China 20-21: 606. 2011 [11 Nov 2011] [Asteraceae] to Fl. China 20-21: 606 (2011), information provided by Alan E. on email Jun. 07 2021",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77117787-1,The Asteraceaae TEN,A,"","",TRUE,Synonym,wfo-0000058975,Aster simplex
Aster simplex Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,31.23,42.32,26.45,CSR,2,Aster simplex Willd.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,312,2,wfo-0000012570,urn:lsid:ipni.org:names:981841-1,GCC-F3743A58-9A8C-4827-A19E-B4CB2CAAF3B1,Symphyotrichum lanceolatum,species,wfo-4000037221,(Willd.) G.L.Nesom,Asteraceae,"","",,Symphyotrichum,"",lanceolatum,"",species,Valid,Phytologia 77(3): 284 (1995),Accepted,"",wfo-0000122475,,"Source in seed data: gcc Update namepublishedIn from 284  to Phytologia 77(3): 284 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-112167 >The Plant List v",http://www.theplantlist.org/tpl1.1/record/gcc-112167,The Asteraceaae TEN,A,gcc-112167,"",TRUE,Synonym,wfo-0000129289,Aster simplex
Aster tripolium L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,54.38,0,45.62,CR,1,Aster tripolium L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,13,313,1,wfo-0000006524,urn:lsid:ipni.org:names:256563-1,GCC-D8D4FC67-3295-4B6D-B95A-A76C97BEEFFB,Tripolium pannonicum,species,wfo-4000039307,(Jacq.) Dobrocz.,Asteraceae,"","",,Tripolium,"",pannonicum,"",species,Valid,Fl. URSR 11: 63 (1962),Accepted,"",wfo-0000113440,,"Source in seed data: gcc Update namepublishedIn from Fl. URSR 11: 63. 1962  to Fl. URSR 11: 63 (1962), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-106290 >The ",http://www.theplantlist.org/tpl1.1/record/gcc-106290,The Asteraceaae TEN,A,gcc-106290,"",TRUE,Synonym,wfo-0000051128,Aster tripolium var. tripolium
Aster umbellatus Mill.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,48.65,4.36,46.99,CR,2,Aster umbellatus Mill.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,314,1,wfo-0000121365,urn:lsid:ipni.org:names:30058707-2,GCC-3805FBAA-36B5-461D-A7A6-7265CC0BA02D,Doellingeria umbellata,species,wfo-4000012335,(Mill.) Nees,Asteraceae,"","",,Doellingeria,"",umbellata,"",species,Valid,Gen. Sp. Aster. : 178 (1832),Accepted,"",wfo-0000123706,,"Source in seed data: gcc Update namepublishedIn from Gen. Sp. Aster. 178 1832  to Gen. Sp. Aster. : 178 (1832), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-825",http://www.theplantlist.org/tpl1.1/record/gcc-82586,The Asteraceaae TEN,A,gcc-82586,"",TRUE,Synonym,wfo-0000123706,Aster umbellatus
Astragalus alpinus L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,12.23,13.9,73.87,R/SR,1,Astragalus alpinus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,315,1,wfo-0000163769,urn:lsid:ipni.org:names:24418-2,10175,Astragalus alpinus,species,wfo-4000003460,L.,Fabaceae,"","",,Astragalus,"",alpinus,"",species,Valid,Sp. Pl.: 760 (1753),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Sp. Pl. : 760 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-10175 >The Plant List v.1.1.</a> O",https://www.legumedata.org/taxonomy/taxon/657354,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-10175,"",FALSE,"","",""
Astragalus alpinus L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,12.23,13.9,73.87,R/SR,1,Astragalus alpinus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,315,2,wfo-0000163771,urn:lsid:ipni.org:names:25423-2,10178,Astragalus penduliflorus,species,wfo-4000003460,Lam.,Fabaceae,"","",,Astragalus,"",penduliflorus,"",species,Valid,Fl. Franç.2: 636 (1779),Accepted,"","",,Source in seed data: ildis More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-10178 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-10178 >The Plant List v.1.0</a>,https://www.legumedata.org/taxonomy/taxon/661846,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-10178,"",TRUE,Synonym,wfo-0000191875,Astragalus alpinus
Astragalus canadensis L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,36.52,40.18,23.3,CS/CSR,2,Astragalus canadensis L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,316,1,wfo-0000168919,urn:lsid:ipni.org:names:24595-2,15256,Astragalus canadensis,species,wfo-4000003460,L.,Fabaceae,"","",,Astragalus,"",canadensis,"",species,Valid,Sp. Pl.: 757 (1753),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Sp. Pl. : 757 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-15256 >The Plant List v.1.1.</a> O",https://www.legumedata.org/taxonomy/taxon/658189,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-15256,"",FALSE,"","",""
Astragalus cicer L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,40.62,18.89,40.49,CR/CSR,1,Astragalus cicer L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,317,1,wfo-0000213547,urn:lsid:ipni.org:names:476814-1,8614,Astragalus cicer,species,wfo-4000003460,L.,Fabaceae,"","",,Astragalus,"",cicer,"",species,Valid,Sp. Pl.: 757 (1753),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from Sp. Pl. 2: 757. 1753 [1 May 1753]  to Sp. Pl. : 757 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-",https://www.legumedata.org/taxonomy/taxon/658442,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-8614,"",TRUE,Synonym,wfo-0000191739,Astragalus cicer var. major
Astragalus frigidus,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,32.72,13.73,53.55,R/CSR,1,Astragalus frigidus (L.) A. Gray,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,318,1,wfo-0000213559,urn:lsid:ipni.org:names:24879-2,8626,Astragalus frigidus,species,wfo-4000003460,A.Gray,Fabaceae,"","",,Astragalus,"",frigidus,"",species,Valid,Proc. Amer. Acad. Arts6: 219 (1864),Accepted,"","",,"Source in seed data: ildis Updated scientificnameAuthorship from (L.) A.Gray to A.Gray, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-8626 >The Plant List v.1.1.",https://www.legumedata.org/taxonomy/taxon/659431,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-8626,"",FALSE,"","",""
