validScientificName,family.ORIG,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Acalypha virginica L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,annual,forb,28.02,30.08,41.9,CSR,2,Acalypha virginica L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,7,4,wfo-1000038355,urn:lsid:ipni.org:names:77235660-1,"",Acalypha virginica,species,"",Benth.,Euphorbiaceae,"","",,Acalypha,"",virginica,"",species,"",Numer. List n.° 7779. 1847 (1847),Unchecked,"","",,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",FALSE,"","",""
Acer campestre L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,42.29,29.41,28.3,CSR,1,Acer campestre L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,8,1,wfo-0000514040,urn:lsid:ipni.org:names:781250-1,747851,Acer campestre,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",campestre,"",species,Valid,Sp. Pl. : 1055 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753  to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2615447 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2615447,The Sapindaceae Taxonomic Expert Network,A,kew-2615447,"",TRUE,Synonym,wfo-0000734984,Acer campestre f. molle
Acer campestre L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,42.29,29.41,28.3,CSR,1,Acer campestre L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,8,2,wfo-0000514040,urn:lsid:ipni.org:names:781250-1,747851,Acer campestre,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",campestre,"",species,Valid,Sp. Pl. : 1055 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753  to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2615447 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2615447,The Sapindaceae Taxonomic Expert Network,A,kew-2615447,"",TRUE,Synonym,wfo-0000734993,Acer campestre f. bedoi
Acer monspessulanum L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,23.49,68.83,7.69,S/CS,1,Acer monspessulanum L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,9,1,wfo-0000514593,urn:lsid:ipni.org:names:781402-1,748366,Acer monspessulanum,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",monspessulanum,"",species,Valid,Sp. Pl. : 1056 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1056 1753  to Sp. Pl. : 1056 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2615976 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2615976,The Sapindaceae Taxonomic Expert Network,A,kew-2615976,"",FALSE,"","",""
Acer negundo L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,50.38,23.31,26.31,C/CSR,2,Acer negundo L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,10,1,wfo-0000514643,urn:lsid:ipni.org:names:781412-1,748414,Acer negundo,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",negundo,"",species,Valid,Sp. Pl. : 1056 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1056 1753  to Sp. Pl. : 1056 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616024 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616024,The Sapindaceae Taxonomic Expert Network,A,kew-2616024,"",TRUE,Synonym,wfo-0000734247,Acer negundo f. nanum
Acer opalus Mill.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,47.55,25.57,26.88,C/CSR,1,Acer opalus Mill.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,11,1,wfo-0000514734,urn:lsid:ipni.org:names:781424-1,748502,Acer opalus,species,wfo-4000000188,Mill.,Sapindaceae,Hippocastanoideae,"",,Acer,"",opalus,"",species,Valid,Gard. Dict. ed. 8 : n.º 8 (1768),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Gard. Dict. ed. 8 8 1768  to Gard. Dict. ed. 8 : n.º 8 (1768), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ke",http://www.theplantlist.org/tpl1.1/record/kew-2616113,The Sapindaceae Taxonomic Expert Network,A,kew-2616113,"",FALSE,"","",""
Acer platanoides L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,48.76,35.31,15.93,CS/CSR,1,Acer platanoides L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,12,1,wfo-0000514884,urn:lsid:ipni.org:names:781455-1,748642,Acer platanoides,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",platanoides,"",species,Valid,Sp. Pl. : 1055 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753  to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616254 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616254,The Sapindaceae Taxonomic Expert Network,A,kew-2616254,"",TRUE,Synonym,wfo-0000735102,Acer platanoides f. nanum
Acer pseudoplatanus L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,37.51,54.93,7.55,CS,1,Acer pseudoplatanus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,13,1,wfo-0000514908,urn:lsid:ipni.org:names:781462-1,748664,Acer pseudoplatanus,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",pseudoplatanus,"",species,Valid,Sp. Pl. : 1054 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1054 1753  to Sp. Pl. : 1054 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616276 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616276,The Sapindaceae Taxonomic Expert Network,A,kew-2616276,"",FALSE,"","",""
Acer saccharum Marshall,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,27.13,56.44,16.43,S/CSR,4,Acer saccharum Marshall,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,9,14,1,wfo-0000515026,urn:lsid:ipni.org:names:56795-1,748774,Acer saccharum,species,wfo-4000000188,Marshall,Sapindaceae,Hippocastanoideae,"",,Acer,"",saccharum,"",species,Valid,Arbust. Amer. : 4 (1785),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Arbust. Amer. 4 1785  to Arbust. Amer. : 4 (1785), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616387 >Th",http://www.theplantlist.org/tpl1.1/record/kew-2616387,The Sapindaceae Taxonomic Expert Network,A,kew-2616387,"",FALSE,"","",""
Aceras anthropophorum,Orchidaceae,Asparagales,Lilianae,Monocot,perennial,forb,41.33,0,58.67,CR,1,Aceras anthropophorum (L.) W.T. Aiton,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,15,1,wfo-0000258929,urn:lsid:ipni.org:names:648363-1,142231,Orchis anthropophora,species,wfo-4000027038,All.,Orchidaceae,"","",,Orchis,"",anthropophora,"",species,Valid,Fl. Pedem. 2: 148 (1785),Accepted,"",wfo-0000257396,,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) All. to All., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-142231 >The Plant List v.1.1.</a>",http://www.theplantlist.org/tpl1.1/record/kew-142231,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-142231,"",TRUE,Synonym,wfo-0000283315,Aceras anthropophorum
