validScientificName
Anemone speciosa Adam ex G. Pritz.
Anemone sylvestris L.
Anethum graveolens L.
Angelica archangelica L.
Angelica sylvestris L.
Annona acuminata Saff.
Annona salzmannii A. DC.
Annona spraguei Saff.
Antennaria carpatica (Wahlenb.) Bluff & Fingerh.
Antennaria dioica (L.) Gaertn.
Antennaria parvifolia Nutt.
Antennaria plantaginifolia (L.) Hook.
Antennaria rosulata Rydb.
Anthemis arvensis L.
Anthemis cotula L.
Anthemis cretica L.
Anthemis marschalliana Willd.
Anthemis ruthenica M. Bieb.
Anthemis tinctoria L.
Anthericum liliago L.
Anthericum ramosum L.
Anthoxanthum alpinum Á. Löve & D. Löve
Anthoxanthum aristatum Boiss.
Anthoxanthum odoratum L. nipponicum (Honda) Tzvelev
Anthriscus caucalis M. Bieb.
Anthriscus cerefolium (L.) Hoffm.
Anthriscus nitida (Wahlenb.) Garcke
Anthriscus sylvestris (L.) Hoffm.
Anthyllis barba-jovis L.
Anthyllis vulneraria L. alpestris (Kit. ex Schult.) Asch. & Graebn.
Anthyllis vulneraria L. polyphylla (DC.) Nyman
Apeiba membranacea Spruce ex Benth.
Apeiba tibourbou Aubl.
Apera interrupta (L.) P. Beauv.
Aphanes arvensis L.
Aphanes inexspectata W. Lippert
Aphelandra sinclairiana Nees
Apium inundatum Rchb. f.
Apium nodiflorum (L.) Lag. nodiflorum
Apocynum androsaemifolium L.
Aporosa aurea Hook. f.
Aporosa bracteosa Pax & K. Hoffm.
Aporosa falcifera Hook. f.
Aporosa globifera Hook. f.
Aporosa microstachya (Tul.) Müll. Arg.
Aporosa nigricans Hook. f.
Aporosa prainiana King ex Gage
Aposeris foetida (L.) Less.
Appunia seibertii Standl.
Apuleia leiocarpa (Vogel) J.F. Macbr.
Aquilegia atrata W. D. J. Koch
Aquilegia braunerana (Hoppe) Jav.
Aquilegia vulgaris L.
Arabidopsis suecica Norrl.
Arabidopsis thaliana (L.) Heynh.
Arabis alpina L. alpina
Arabis alpina L. caucasica (Willd.) Briq.
Arabis caerulea Haenke
Arabis collina Ten.
Arabis glabra (L.) Bernh.
Arabis hirsuta (L.) Scop.
Arabis lyrata L.
Arabis pumila Jacq.
Arabis sagittata (Bertol.) DC.
Arabis turrita L.
Aralia hispida Vent.
Arbutus unedo L.
Archidendron bubalinum (Jack) I.C. Nielsen
Arctium lappa L.
Arctium minus (Hill) Bernh.
Arctostaphylos alpina (L.) Spreng.
Arctostaphylos uva-ursi (L.) Spreng.
Ardisia bartlettii Lundell
Ardisia crassa C.B. Clarke
Ardisia fendleri Lundell
Ardisia guianensis (Aubl.) Mez
Ardisia hulletii Mez
Ardisia kunstleri King & Gamble
Arenaria fendleri A. Gray
Arenaria lanuginosa (Michx.) Rohrb.
Arenaria lychnidea M. Bieb.
Arenaria serpyllifolia L.
Arisaema triphyllum (L.) Schott
Aristida dichotoma Michx.
Aristida oligantha Michx.
Aristida purpurascens Poir.
Aristida purpurea Nutt.
Aristolochia clematitis L.
Aristolochia pallida Willd.
Armeria maritima (Mill.) Willd.
Arnica montana L.
Arnoseris minima (L.) Schweigg. & Körte
Arrabidaea candicans (Rich.) DC.
Arrabidaea florida DC.
Arrabidaea verrucosa (Standl.) A.H. Gentry
Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl
Artemisia absinthium L.
Artemisia annua L.
Artemisia campestris L.
Artemisia carruthii Alph. Wood ex Carruth
Artemisia caudata Alph. Wood ex Carruth
Artemisia dracunculus L.
Artemisia ludoviciana Nutt.
Artemisia maritima Ledeb.
Artemisia verlotiorum Lamotte
Artemisia vulgaris L.
Aruncus dioicus (Walter) Fernald
Asarum canadense L.
Asarum europaeum L.
Asclepias incarnata L.
Asclepias syriaca L.
Asclepias tuberosa L.
Asclepias verticillata L.
Asclepias viridis Walter
Asparagus officinalis L.
Asperugo procumbens L.
Asperula aristata L. f. oreophila (Briq.) Hayek
Asperula cynanchica L.
Asperula tinctoria L.
Aspidosperma discolor A. DC.
Aspidosperma spruceanum Benth. ex Müll. Arg.
Asplenium ruta-muraria L.
Asplenium septentrionale (L.) Hoffm.
Asplenium trichomanes L. quadrivalens D. E. Mey.
Asplenium viride Huds.
Aster acuminatus Michx.
Aster alpinus L.
Aster amellus L.
Aster bellidiastrum (L.) Scop.
Aster dumosus L.
Aster ericoides L.
Aster hemisphericus Alexander
Aster laevis L.
Aster lanceolatus Willd.
Aster linosyris Benth.
Aster novae-angliae L.
Aster patens Aiton
Aster pilosus Willd.
Aster puniceus L.
Aster sagittifolius Wedem. ex Willd.
Aster simplex Willd.
Aster tripolium L.
Aster umbellatus Mill.
Astragalus alpinus L.
Astragalus canadensis L.
Astragalus cicer L.
Astragalus frigidus (L.) A. Gray
Astragalus humistratus A. Gray
Astragalus rusbyi Greene
Astrantia major L.
Astrantia minor L.
Astrocaryum standleyanum L.H. Bailey
Astronium graveolens Jacq.
Athamanta cretensis L.
Athyrium distentifolium Tausch ex Opiz
Athyrium filix-foemina (L.) Roth
Atriplex calotheca (Rafn) Fr.
Atriplex glabriuscula Edmondston
Atriplex halimus L.
Atriplex laciniata L.
Atriplex littoralis L.
Atriplex micrantha C.A. Mey.
Atriplex nitens Schkuhr
Atriplex oblongifolia Waldst. & Kit.
Atriplex patula L.
Atriplex prostrata Boucher ex DC
Atriplex rosea L.
Atriplex tatarica L.
Atropa belladonna L.
Aucuba japonica Thunb.
Aulonemia effusa (Hack.) McClure
Avena barbata Pott ex Link
Avena fatua L.
Avena sativa L.
Avena sterilis L. sterilis
Avena strigosa Schreb.
Avenula pubescens (Huds.) Dumort.
Avenula versicolor (Vill.) M. Laínz
Baccaurea parviflora (Müll. Arg.) Müll. Arg. 
Baccaurea racemosa (Reinw.) Müll. Arg.
Bactris acanthocarpa Mart.
Bactris setosa Mart.
Bahia dissecta (A. Gray) Britton
Baptisia alba (L.) Vent.
Barbacenia blackii L.B.Sm.
Barbarea bracteosa Guss.
Barbarea intermedia Boreau
Barbarea stricta Andrz.
Barbarea vulgaris W.T. Aiton
Barringtonia macrostachya (Jack) Kurz
Bartsia alpina L.
Beilschmiedia pendula (Sw.) Hemsl.
Bellardiochloa variegata (Lam.) Kerguélen variegata
Bellidiastrum michelii Cass.
Bellis perennis L.
Berberis vulgaris L. vulgaris
Berchemia scandens (Hill) K. Koch
Berteroa incana (L.) DC.
Berula erecta (Huds.) Coville
Betonica macrantha K. Koch
Betula alleghaniensis Britton
Betula litwinowii Doluch.
Betula nana L.
Betula pendula Roth
Betula populifolia Marshall
Bidens andicola Kunth
Bidens cernua L.
Bidens connata Muhl. ex Willd.
Bidens frondosa L.
Bidens radiata Thuill.
Bidens tripartita L. tripartita
Bifora radians M. Bieb.
Biscutella laevigata L.
Bistorta officinalis Delarbre
Bistorta vivipara (L.) Delarbre
Blackstonia perfoliata (L.) Huds.
Blechnum spicant (L.) Roth
Blepharoneuron tricholepis (Torr.) Nash
Blephilia ciliata (L.) Benth.
Blysmus compressus (L.) Panz. ex Link
Blysmus rufus (Huds.) Link
Borago officinalis L.
Borojoa panamensis Dwyer
Bothriochloa insculpta (Hochst. ex A. Rich.) A. Camus 
Botrychium lunaria (L.) Sw.
Bouteloua curtipendula (Michx.) Torr.
Bouteloua gracilis (Kunth) Lag. ex Griffiths
Bouteloua hirsuta Lag.
Bouteloua simplex Lag.
Bowdichia virgilioides Kunth
Brachypodium distachyon (L.) P. Beauv.
Brachypodium phoenicoides (L.) P. Beauv. ex Roem. & Schult.
Brachypodium rupestre (Host) Roem. & Schult.
Brachypodium sylvaticum (Huds.) P. Beauv. sylvaticum
Brassica elongata Ehrh.
Brassica napus L. napus
Brassica nigra (L.) W.D.J. Koch
Brassica oleracea L.
Brassica rapa L.
Briza marcowiczii Woronow
Briza media L.
Bromopsis variegata (M. Bieb.) Holub
Bromus arvensis L.
Bromus benekenii (Lange) Trimen
Bromus ciliatus L.
Bromus commutatus Schrad.
Bromus diandrus Roth
Bromus erectus Huds.
Bromus grossus Desf. ex DC.
Bromus hordeaceus L. hordeaceus
Bromus inermis Leyss.
Bromus japonicus Houtt.
Bromus kalmii A. Gray
Bromus lanceolatus Roth
Bromus madritensis L.
Bromus racemosus L.
Bromus ramosus Huds.
Bromus secalinus L.
Bromus squarrosus L.
Bromus sterilis L.
Brosimum alicastrum Sw.
Brosimum guianense (Aubl.) Huber
Brosimum utile (Kunth) Oken
Broussonetia papyrifera (L.) Vent.
Bryonia alba L.
Buchenavia tetraphylla (Aubl.) R.A. Howard
Buchnera americana L.
Buddleja davidii Franch.
Buglossoides arvensis (L.) I. M. Johnst.
Buglossoides purpurocaerulea (L.) I. M. Johnst.
Bulbostylis eleocharoides Kral & M.T. Strong
Bulbostylis emmerichiae T. Koyama
Bulbostylis lombardii Kral & M.T.Strong
Bulbostylis paradoxa (Spreng.) Lindm.
Bunias orientalis L.
Bunium bulbocastanum l.
Buphthalmum salicifolium L.
Bupleurum ranunculoides L.
Bupleurum rotundifolium L.
Bupleurum stellatum L.
Bupleurum tenuissimum L.
Buxus sempervirens L.
