species,author,popularNameNO,establishmentClass,alienStatus,riskCategory,validScientificName,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Parietaria judaica,L.,blidnesle,C2,Selvstendig reproduserende,LO,Parietaria judaica L.,Parietaria judaica L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,1636,1,wfo-0000473199,urn:lsid:ipni.org:names:131067-3,682217,Parietaria judaica,species,wfo-4000028202,L.,Urticaceae,"","",,Parietaria,"",judaica,"",species,Valid,Species Plantarum 1763,Accepted,"","",,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. ed. 2 1492 1763  to Species Plantarum 1763 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2546385 ",http://www.theplantlist.org/tpl1.1/record/kew-2546385,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2546385,"",FALSE,"","","",""
Parietaria pensylvanica,Muhl. ex Willd.,amerikablidnesle,D1,Selvstendig reproduserende,LO,Parietaria pensylvanica Muhl. ex Willd.,Parietaria pensylvanica Muhl. ex Willd.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,16,1637,1,wfo-0000473229,urn:lsid:ipni.org:names:183216-2,682252,Parietaria pensylvanica,species,wfo-4000028202,Muhl. ex Willd.,Urticaceae,"","",,Parietaria,"",pensylvanica,"",species,Valid,"Sp. Pl., ed. 4 , 4: 955 (1806)",Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 4: 955 1806  to Sp. Pl., ed. 4 , 4: 955 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-254642",http://www.theplantlist.org/tpl1.1/record/kew-2546420,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2546420,"",FALSE,"","","",""
Parthenocissus inserta,(A.Kern.) Fritsch.,villvin,E,Selvstendig reproduserende,SE,Parthenocissus inserta,Parthenocissus inserta (A.Kern.) Fritsch.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1638,1,wfo-0000474309,urn:lsid:ipni.org:names:68399-1,683945,Parthenocissus quinquefolia,species,wfo-4000028265,Planch.,Vitaceae,"","",,Parthenocissus,"",quinquefolia,"",species,Valid,Monogr. Phan. [A.DC. & C.DC.] 5(2): 448. 1887 [Oct 1887],Accepted,"",wfo-0000979874,,"Source in seed data: cmp Updated scientificnameAuthorship from (L.) Planch. to Planch., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2548124 >The Plant List v.1",http://www.theplantlist.org/tpl1.1/record/kew-2548124,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2548124,"",TRUE,Synonym,wfo-0000476975,Parthenocissus inserta,""
Parthenocissus quinquefolia,(L.) Planch.,klatrevillvin,E,Selvstendig reproduserende,SE,Parthenocissus quinquefolia,Parthenocissus quinquefolia (L.) Planch.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1639,1,wfo-0000474309,urn:lsid:ipni.org:names:68399-1,683945,Parthenocissus quinquefolia,species,wfo-4000028265,Planch.,Vitaceae,"","",,Parthenocissus,"",quinquefolia,"",species,Valid,Monogr. Phan. [A.DC. & C.DC.] 5(2): 448. 1887 [Oct 1887],Accepted,"",wfo-0000979874,,"Source in seed data: cmp Updated scientificnameAuthorship from (L.) Planch. to Planch., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2548124 >The Plant List v.1",http://www.theplantlist.org/tpl1.1/record/kew-2548124,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2548124,"",FALSE,"","","",""
Parthenocissus tricuspidata,(Siebold & Zucc.) Planch.,rådhusvillvin,C1,Dørstokkart,LO,Parthenocissus tricuspidata,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1640,1,wfo-0000474320,urn:lsid:ipni.org:names:68407-1,683961,Parthenocissus tricuspidata,species,wfo-4000028265,Planch.,Vitaceae,"","",,Parthenocissus,"",tricuspidata,"",species,Valid,Monogr. Phan. [A.DC. & C.DC.] 5(2): 452. 1887 [Oct 1887],Accepted,"",wfo-0000531771,,"Source in seed data: cmp Updated scientificnameAuthorship from (Siebold & Zucc.) Planch. to Planch., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2548140 >The P",http://www.theplantlist.org/tpl1.1/record/kew-2548140,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2548140,"",FALSE,"","","",""
Parthenolecanium pomeranicum,"(Kawecki, 1954)",barlindskjoldlus,C3,Selvstendig reproduserende,LO,Parthenolecanium pomeranicum,"Parthenolecanium pomeranicum (Kawecki, 1954)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,1641,1,"",,,Parthenolecanium pomeranicum,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Pastinaca sativa var. hortensis,Gaudin,hagepastinakk,E,Selvstendig reproduserende,HI,Pastinaca sativa var. hortensis Gaudin,Pastinaca sativa var. hortensis Gaudin,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,22,1642,1,wfo-0000391752,urn:lsid:ipni.org:names:845768-1,542062,Pastinaca sativa,species,wfo-4000028299,L.,Apiaceae,"","",,Pastinaca,"",sativa,"",species,Valid,Sp. Pl. : 262 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 262 1753  to Sp. Pl. : 262 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2403590 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2403590,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2403590,"",FALSE,"","","",""
Pastinaca sativa var. sativa,"",villpastinakk,E,Selvstendig reproduserende,LO,Pastinaca sativa var. sativa,Pastinaca sativa var. sativa ,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,12,1643,1,wfo-0000391752,urn:lsid:ipni.org:names:845768-1,542062,Pastinaca sativa,species,wfo-4000028299,L.,Apiaceae,"","",,Pastinaca,"",sativa,"",species,Valid,Sp. Pl. : 262 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 262 1753  to Sp. Pl. : 262 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2403590 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2403590,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2403590,"",FALSE,"","","",""
Patella vulgata,"L., 1758",albusnegl,A,Dørstokkart,LO,Patella,"Patella vulgata L., 1758",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,535,FALSE,FALSE,,1644,1,"",,,Patella,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Paulownia tomentosa,(Thunb.) Steud.,keisertre,B2,Dørstokkart,NK,Paulownia tomentosa,Paulownia tomentosa (Thunb.) Steud.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1645,1,wfo-0000470767,urn:lsid:ipni.org:names:806727-1,678251,Paulownia tomentosa,species,wfo-4000028345,Steud.,Paulowniaceae,"","",,Paulownia,"",tomentosa,"",species,Valid,"Nomencl. Bot.  [Steudel], ed. 2. ii. 278. 1841 [Apr 1841]",Accepted,"","",,"Source in seed data: cmp Updated namepublishedIn from Nomencl. Bot. ed. 2, 2: 278 1841  to Nomencl. Bot.  [Steudel], ed. 2. ii. 278. 1841 [Apr 1841] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www",http://www.theplantlist.org/tpl1.1/record/kew-2542391,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2542391,"",FALSE,"","","",""
