species,author,popularNameNO,establishmentClass,alienStatus,riskCategory,validScientificName,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Abies alba,Mill.,edelgran,E,Etablert per år 1800,NR,Abies alba Mill.,Abies alba Mill.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,1,1,wfo-0000510976,urn:lsid:ipni.org:names:60468511-2,381621,Abies alba,species,wfo-4000000038,Mill.,Pinaceae,"","",,Abies,"",alba,"",species,Valid,Gard. Dict. ed. 7 : n.º 1 (1756),Accepted,"",wfo-0000481906,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609691 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609691,The Conifer Taxonomic Expert Network,G,kew-2609691,"",FALSE,"","","",Not a synonym
Abies amabilis,(Douglas ex Loudon) J.Forbes,stillehavsedelgran,C2,Selvstendig reproduserende,LO,Abies amabilis,Abies amabilis (Douglas ex Loudon) J.Forbes,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,2,1,wfo-0000510989,urn:lsid:ipni.org:names:325658-2,381632,Abies amabilis,species,wfo-4000000038,Douglas ex J.Forbes,Pinaceae,"","",,Abies,"",amabilis,"",species,Valid,Pinet. Woburn. : 125 (1839),Accepted,"",wfo-0000482032,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609703 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609703,The Conifer Taxonomic Expert Network,G,kew-2609703,"",FALSE,"","","",Not a synonym
Abies balsamea,(L.) Mill.,balsamedelgran,D1,Selvstendig reproduserende,PH,Abies balsamea,Abies balsamea (L.) Mill.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,3,1,wfo-0000511004,urn:lsid:ipni.org:names:1084057-2,381647,Abies balsamea,species,wfo-4000000038,(L.) Mill.,Pinaceae,"","",,Abies,"",balsamea,"",species,Valid,Gard. Dict. ed. 8 : n.º 3 (1768),Accepted,"",wfo-0000482342,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609719 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609719,The Conifer Taxonomic Expert Network,G,kew-2609719,"",FALSE,"","","",""
Abies cephalonica,Loudon,gresk edelgran,C2,Selvstendig reproduserende,LO,Abies cephalonica Loudon,Abies cephalonica Loudon,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,4,1,wfo-0000511042,urn:lsid:ipni.org:names:261486-1,381681,Abies cephalonica,species,wfo-4000000038,Loudon,Pinaceae,"","",,Abies,"",cephalonica,"",species,Valid,Gard. Mag. (London) 14: 81 (1838),Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609753 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609753,The Conifer Taxonomic Expert Network,G,kew-2609753,"",FALSE,"","","",""
Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,koloradoedelgran,C2,Selvstendig reproduserende,HI,Abies concolor,Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,5,1,wfo-0000511077,urn:lsid:ipni.org:names:1031026-2,381713,Abies concolor,species,wfo-4000000038,(Gordon & Glend.) Lindl. ex Hildebr.,Pinaceae,"","",,Abies,"",concolor,"",species,Valid,Verh. Naturhist. Vereines Preuss. Rheinl. Westphalens 18: 261 (1861),Accepted,"",wfo-0000482497,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609785 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609785,The Conifer Taxonomic Expert Network,G,kew-2609785,"",FALSE,"","","",""
Abies grandis,(Douglas ex D.Don) Lindl.,kjempeedelgran,C3,Selvstendig reproduserende,PH,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,6,1,wfo-0000511178,urn:lsid:ipni.org:names:1033427-2,381804,Abies grandis,species,wfo-4000000038,(Douglas ex D.Don) Lindl.,Pinaceae,"","",,Abies,"",grandis,"",species,Valid,Penny Cyclop. 1: 30 (1833),Accepted,"",wfo-0000481382,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609877 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609877,The Conifer Taxonomic Expert Network,G,kew-2609877,"",FALSE,"","","",Not a synonym
Abies koreana,E.H. Wilson,koreaedelgran,C2,Selvstendig reproduserende,LO,Abies koreana E.H. Wilson,Abies koreana E.H. Wilson,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,12,7,1,wfo-0000511223,urn:lsid:ipni.org:names:676582-1,381844,Abies koreana,species,wfo-4000000038,E.H.Wilson,Pinaceae,"","",,Abies,"",koreana,"",species,Valid,J. Arnold Arbor. 1: 188 (1920),Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609917 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609917,The Conifer Taxonomic Expert Network,G,kew-2609917,"",FALSE,"","","",""
Abies lasiocarpa,(Hook.) Nutt.,fjelledelgran,C3,Selvstendig reproduserende,HI,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,8,2,wfo-0000511232,urn:lsid:ipni.org:names:1081948-2,381853,Abies lasiocarpa,species,wfo-4000000038,(Hook.) Nutt.,Pinaceae,"","",,Abies,"",lasiocarpa,"",species,Valid,N. Amer. Sylv. 3: 138 (1849),Accepted,"",wfo-0000481073,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609926 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609926,The Conifer Taxonomic Expert Network,G,kew-2609926,"",FALSE,"","","",Not a synonym
Abies magnifica,A.Murray bis,praktedelgran,C1,Dørstokkart,NK,Abies magnifica A.Murray bis,Abies magnifica A.Murray bis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,13,9,1,wfo-0000511249,urn:lsid:ipni.org:names:325664-2,381868,Abies magnifica,species,wfo-4000000038,A.Murray bis,Pinaceae,"","",,Abies,"",magnifica,"",species,Valid,Proc. Roy. Hort. Soc. London 3: 318 (1863),Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609941 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609941,The Conifer Taxonomic Expert Network,G,kew-2609941,"",FALSE,"","","",""
Abies mariesii,Mast.,mariesedelgran,B2,Dørstokkart,NK,Abies mariesii Mast.,Abies mariesii Mast.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,10,1,wfo-0000511255,urn:lsid:ipni.org:names:261575-1,381874,Abies mariesii,species,wfo-4000000038,Mast.,Pinaceae,"","",,Abies,"",mariesii,"",species,Valid,"Gard. Chron. , n.s., 12: 789 (1879)",Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609947 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609947,The Conifer Taxonomic Expert Network,G,kew-2609947,"",FALSE,"","","",""
Abies nordmanniana,(Steven) Spach,nordmannsedelgran,D1,Selvstendig reproduserende,PH,Abies nordmanniana,Abies nordmanniana (Steven) Spach,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,11,1,wfo-0000511305,urn:lsid:ipni.org:names:261599-1,381919,Abies nordmanniana,species,wfo-4000000038,(Steven) Spach,Pinaceae,"","",,Abies,"",nordmanniana,"",species,Valid,Hist. Nat. Vég. 11: 418 (1841),Accepted,"",wfo-0000481681,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609993 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609993,The Conifer Taxonomic Expert Network,G,kew-2609993,"",FALSE,"","","",""
Abies procera,Rehder,nobelgran,C2,Selvstendig reproduserende,PH,Abies procera Rehder,Abies procera Rehder,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,12,1,wfo-0000511367,urn:lsid:ipni.org:names:676607-1,381974,Abies procera,species,wfo-4000000038,Rehder,Pinaceae,"","",,Abies,"",procera,"",species,Valid,Rhodora 42: 522 (1940),Accepted,"",wfo-0000481694,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2610049 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2610049,The Conifer Taxonomic Expert Network,G,kew-2610049,"",FALSE,"","","",""
Abies sachalinensis,(F.Schmidt) Mast.,sakhalinedelgran,C2,Selvstendig reproduserende,LO,Abies sachalinensis,Abies sachalinensis (F.Schmidt) Mast.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,13,1,wfo-0000511384,"",381990,Abies sachalinensis,species,wfo-4000000038,(F.Schmidt) Mast.,Pinaceae,"","",,Abies,"",sachalinensis,"",species,Valid,"Gard. Chron. n.s., 12: 588 1879",Accepted,"",wfo-0000511447,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2610065 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2610065,The Conifer Taxonomic Expert Network,G,kew-2610065,"",FALSE,"","","",smallest ID
Abies sibirica,Ledeb.,sibiredelgran,C2,Selvstendig reproduserende,LO,Abies sibirica Ledeb.,Abies sibirica Ledeb.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,14,1,wfo-0000511396,urn:lsid:ipni.org:names:261635-1,382001,Abies sibirica,species,wfo-4000000038,Ledeb.,Pinaceae,"","",,Abies,"",sibirica,"",species,Valid,Fl. Altaic. 4: 202 (1833),Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2610076 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2610076,The Conifer Taxonomic Expert Network,G,kew-2610076,"",FALSE,"","","",Not a synonym
Abies veitchii,Lindl.,veitchedelgran,C2,Selvstendig reproduserende,LO,Abies veitchii Lindl.,Abies veitchii Lindl.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,15,1,wfo-0000511444,urn:lsid:ipni.org:names:261656-1,382044,Abies veitchii,species,wfo-4000000038,Lindl.,Pinaceae,"","",,Abies,"",veitchii,"",species,Valid,Gard. Chron. 1861: 23 (1861),Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2610120 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2610120,The Conifer Taxonomic Expert Network,G,kew-2610120,"",FALSE,"","","",""
Abramis brama,"(Linnaeus, 1758)",brasme,"",Ikke fremmed,NR,Abramis brama,"Abramis brama (Linnaeus, 1758)",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,TRUE,6,16,1,wfo-4000001044,urn:lsid:ipni.org:names:34110-1,40034929,Airosperma,genus,wfo-7000000534,K.Schum. & Lauterb.,Rubiaceae,"","",,Airosperma,"","","",genus,Valid,Fl. Schutzgeb. Südsee : 565 (1900),Accepted,"","",,"Source in seed data: TPL1.1 Update namepublishedIn from Fl. Schutzgeb. Südsee 565. 1900. (1901)  to Fl. Schutzgeb. Südsee : 565 (1900), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",TRUE,Synonym,wfo-4000000051,Abramsia,""
Acaena microphylla,Hook. f.,taggkryp,B2,Dørstokkart,LO,Acaena microphylla Hook. f.,Acaena microphylla Hook. f.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,9,17,1,wfo-0001016187,urn:lsid:ipni.org:names:720051-1,680,Acaena microphylla,species,wfo-4000000077,Hook.f.,Rosaceae,"","",,Acaena,"",microphylla,"",species,Valid,Fl. Nov.-Zel. 1: 55 (1825),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Bot. Antarct. Voy. II. (Fl. Nov.-Zel.). 1: 55. 1852  to Fl. Nov.-Zel. 1: 55 (1825), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.",http://www.theplantlist.org/tpl1.1/record/rjp-680,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-680,"",FALSE,"","","",""
Acaena novae-zelandiae,Kirk,"",B2,Dørstokkart,LO,Acaena novae-zelandiae Kirk,Acaena novae-zelandiae Kirk,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,11,18,1,wfo-0000985243,urn:lsid:ipni.org:names:720077-1,12356,Acaena pallida,species,wfo-4000000077,(Kirk) Allan,Rosaceae,"","",,Acaena,"",pallida,"",species,Valid,Fl. New Zealand 1: 360 (1961),Accepted,"",wfo-0000985284,,"Source in seed data: rjp Update namepublishedIn from Flora of New Zealand ; 1961 360 1961  to Fl. New Zealand 1: 360 (1961), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/r",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720077-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-12356,"",TRUE,Synonym,wfo-0001281158,Acaena novae-zelandiae var. pallida,""
Acaena ovalifolia,Ruiz & Pav.,"",B2,Dørstokkart,LO,Acaena ovalifolia Ruiz & Pav.,Acaena ovalifolia Ruiz & Pav.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,12,19,2,wfo-0001018923,urn:lsid:ipni.org:names:720073-1,978,Acaena ovalifolia,species,wfo-4000000077,Ruiz & Pav.,Rosaceae,"","",,Acaena,"",ovalifolia,"",species,Valid,Fl. Peruv. 1: 67 (1798),Accepted,"","",,"Source in seed data: rjp Updated scientificnameAuthorship from (Vahl) Ruiz & Pav. to Ruiz & Pav., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-978 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/rjp-978,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-978,"",FALSE,"","","",Accepted
Acartia tonsa,"Dana, 1849","",D2,Selvstendig reproduserende,LO,Acartia,"Acartia tonsa Dana, 1849",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,4,20,1,wfo-4000007004,urn:lsid:ipni.org:names:31632-1,13,Cathcartia,genus,wfo-4100000002,Hook.f.,Papaveraceae,Papaveroideae,Papavereae,,Cathcartia,"","","",genus,Valid,Bot. Mag. 77: t. 4596 (1851),Accepted,"","",,"Source in seed data: wcvp Update namepublishedIn from Bot. Mag. 77: , t. 4596. 1851 to Bot. Mag. 77: t. 4596 (1851), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Pap",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31632-1,The Papaveraceae TEN,A,"","",FALSE,"","","",""
Acartia tonsa,"Dana, 1849","",A,Dørstokkart,LO,Acartia,"Acartia tonsa Dana, 1849",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,4,21,1,wfo-4000007004,urn:lsid:ipni.org:names:31632-1,13,Cathcartia,genus,wfo-4100000002,Hook.f.,Papaveraceae,Papaveroideae,Papavereae,,Cathcartia,"","","",genus,Valid,Bot. Mag. 77: t. 4596 (1851),Accepted,"","",,"Source in seed data: wcvp Update namepublishedIn from Bot. Mag. 77: , t. 4596. 1851 to Bot. Mag. 77: t. 4596 (1851), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Pap",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31632-1,The Papaveraceae TEN,A,"","",FALSE,"","","",""
Acer campestre,L.,naverlønn,D2,Selvstendig reproduserende,LO,Acer campestre L.,Acer campestre L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,22,1,wfo-0000514040,urn:lsid:ipni.org:names:781250-1,747851,Acer campestre,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",campestre,"",species,Valid,Sp. Pl. : 1055 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753  to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2615447 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2615447,The Sapindaceae Taxonomic Expert Network,A,kew-2615447,"",TRUE,Synonym,wfo-0000734984,Acer campestre f. molle,smallest ID
Acer ginnala,Maxim.,sibirlønn,D2,Selvstendig reproduserende,HI,Acer ginnala Maxim.,Acer ginnala Maxim.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,23,1,wfo-0000515184,urn:lsid:ipni.org:names:77249729-1,748918,Acer tataricum  subsp. ginnala,subspecies,wfo-0000515176,(Maxim.) Wesm.,Sapindaceae,Hippocastanoideae,"",,Acer,"",tataricum,ginnala,subspecies,Valid,Bull. Soc. Roy. Bot. Belgique 29: 31. 1890 (1890),Accepted,"",wfo-0000514260,,Source in seed data: cmp More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616532 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2616532 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/kew-2616532,The Sapindaceae Taxonomic Expert Network,A,kew-2616532,"",TRUE,Synonym,wfo-0000514260,Acer ginnala,""
Acer negundo,L.,asklønn,C2,Selvstendig reproduserende,LO,Acer negundo L.,Acer negundo L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,24,1,wfo-0000514643,urn:lsid:ipni.org:names:781412-1,748414,Acer negundo,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",negundo,"",species,Valid,Sp. Pl. : 1056 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1056 1753  to Sp. Pl. : 1056 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616024 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616024,The Sapindaceae Taxonomic Expert Network,A,kew-2616024,"",TRUE,Synonym,wfo-0000734247,Acer negundo f. nanum,""
Acer pseudoplatanus,L.,platanlønn,E,Selvstendig reproduserende,SE,Acer pseudoplatanus L.,Acer pseudoplatanus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,25,1,wfo-0000514908,urn:lsid:ipni.org:names:781462-1,748664,Acer pseudoplatanus,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",pseudoplatanus,"",species,Valid,Sp. Pl. : 1054 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1054 1753  to Sp. Pl. : 1054 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616276 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616276,The Sapindaceae Taxonomic Expert Network,A,kew-2616276,"",FALSE,"","","",""
Acer pseudosieboldianum,(Pax) Kom.,korealønn,C1,Dørstokkart,LO,Acer pseudosieboldianum,Acer pseudosieboldianum (Pax) Kom.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,26,1,wfo-0000514918,urn:lsid:ipni.org:names:781463-1,748673,Acer pseudosieboldianum,species,wfo-4000000188,(Pax) Kom.,Sapindaceae,Hippocastanoideae,"",,Acer,"",pseudosieboldianum,"",species,Valid,Trudy Imp. S.-Peterburgsk. Bot. Sada 22: 725 (1903),Accepted,"",wfo-0000734760,,"Source in seed data: cmp Update namepublishedIn from Trudy Imp. S.-Peterburgsk. Bot. Sada 22: 725 1903  to Trudy Imp. S.-Peterburgsk. Bot. Sada 22: 725 (1903), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2616285,The Sapindaceae Taxonomic Expert Network,A,kew-2616285,"",FALSE,"","","",""
Acer rubrum,L.,"",B2,Dørstokkart,LO,Acer rubrum L.,Acer rubrum L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,8,27,1,wfo-0000514966,urn:lsid:ipni.org:names:1867-2,748717,Acer rubrum,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",rubrum,"",species,Valid,Sp. Pl. : 1055 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753  to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616329 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616329,The Sapindaceae Taxonomic Expert Network,A,kew-2616329,"",TRUE,Synonym,wfo-0000514995,Acer rubrum f. viride,smallest ID
Acer rufinerve,Siebold & Zucc.,rustlønn,B2,Dørstokkart,LO,Acer rufinerve Siebold & Zucc.,Acer rufinerve Siebold & Zucc.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,16,28,1,wfo-0000514997,urn:lsid:ipni.org:names:781491-1,748747,Acer rufinerve,species,wfo-4000000188,Siebold & Zucc.,Sapindaceae,Hippocastanoideae,"",,Acer,"",rufinerve,"",species,Valid,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 4(2): 155 (1845),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 4(2): 155 1845  to Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 4(2): 155 (1845), information provided by Alan E. on email Jun. 07 2021 More details",http://www.theplantlist.org/tpl1.1/record/kew-2616360,The Sapindaceae Taxonomic Expert Network,A,kew-2616360,"",FALSE,"","","",""
Acer saccharum,Marshall,sukkerlønn,B2,Dørstokkart,LO,Acer saccharum Marshall,Acer saccharum Marshall,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,9,29,1,wfo-0000515026,urn:lsid:ipni.org:names:56795-1,748774,Acer saccharum,species,wfo-4000000188,Marshall,Sapindaceae,Hippocastanoideae,"",,Acer,"",saccharum,"",species,Valid,Arbust. Amer. : 4 (1785),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Arbust. Amer. 4 1785  to Arbust. Amer. : 4 (1785), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616387 >Th",http://www.theplantlist.org/tpl1.1/record/kew-2616387,The Sapindaceae Taxonomic Expert Network,A,kew-2616387,"",FALSE,"","","",""
Acer tataricum,L.,tatarlønn,C3,Selvstendig reproduserende,PH,Acer tataricum L.,Acer tataricum L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,30,1,wfo-0000515176,urn:lsid:ipni.org:names:781526-1,748910,Acer tataricum,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",tataricum,"",species,Valid,Sp. Pl. : 1054 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1054 1753  to Sp. Pl. : 1054 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616524 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616524,The Sapindaceae Taxonomic Expert Network,A,kew-2616524,"",TRUE,Synonym,wfo-0000734288,Acer tataricum f. nanum,""
Acer tegmentosum,Maxim.,"",C1,Dørstokkart,LO,Acer tegmentosum Maxim.,Acer tegmentosum Maxim.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,31,1,wfo-0000515198,urn:lsid:ipni.org:names:781530-1,748931,Acer tegmentosum,species,wfo-4000000188,Maxim.,Sapindaceae,Hippocastanoideae,"",,Acer,"",tegmentosum,"",species,Valid,Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg 15: 125 (1856),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg 15: 125 1856  to Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg 15: 125 (1856), information provided by Alan E. on email Jun. 07 2021 ",http://www.theplantlist.org/tpl1.1/record/kew-2616545,The Sapindaceae Taxonomic Expert Network,A,kew-2616545,"",FALSE,"","","",""
