validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Ptychostomum inclinatum,(Sw. ex Brid.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4216,63.4452,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ptychostomum pallescens,(Schleich. ex Schwägr.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Polygonatum odoratum,(Mill.) Druce,Tracheophyta,Asparagales,Asparagaceae,Polygonatum,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Galium boreale,L.,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,10.426207,63.444553,5,2020,Valid,Accepted,TRUE,Galium boreale var. nudum,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Fragaria vesca,L.,Tracheophyta,Rosales,Rosaceae,Fragaria,species,NE,10.426494,63.444473,5,2020,Valid,Accepted,TRUE,Fragaria vesca f. alba,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Saxifraga tridactylites,L.,Tracheophyta,Saxifragales,Saxifragaceae,Saxifraga,species,NE,10.421931,63.44526,5,2022,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Draba incana,L.,Tracheophyta,Brassicales,Brassicaceae,Draba,species,NE,10.42185,63.445276,25,2012,Valid,Accepted,TRUE,Draba incana f. tenuis,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Hypericum perforatum,L.,Tracheophyta,Malpighiales,Hypericaceae,Hypericum,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Schistidium maritimum,(Turner ex Robt.Scott) Bruch & Schimp.,Bryophyta,Grimmiales,Grimmiaceae,Schistidium,species,NE,10.4235,63.4454,1414,1889,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Grimmia ovalis,(Hedw.) Lindb.,Bryophyta,Grimmiales,Grimmiaceae,Grimmia,species,NE,10.4235,63.4454,1414,1890,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Thymus praecox  subsp. praecox,"",Tracheophyta,Lamiales,Lamiaceae,Thymus,subspecies,,10.426494,63.444473,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
